OBJECTID,STUD_AR_ID,STUD_AR_NM,POP_10,POP_14,Acres,AC_PER_1K,RepPrkAc,NEED_DESCP,PCT_Walk,MapLoc,DISTRICT
41,098,City of Rosemead,53743,54742,3310.6406760515797,0.993771,54.7,Moderate,46.16214059,South County,1
42,160,City of West Covina,106021,107812,10279.642048966596,1.413627,152.406,Moderate,43.9326709365,South County,1
43,167,City of Beverly Hills,34109,34736,3655.722452688362,1.9,64.3,Moderate,80.149612668,South County,3
44,082,City of Alhambra,83168,84903,4883.735647957773,0.917058,77.861,High,43.8999161056,South County,5
45,075,City of Malibu,12645,12848,12649.847233371227,9.1,116.97,Very Low,24.7995761416,South County,3
46,025,City of Industry,219,788,7715.80784534971,129.225888,101.83000000000001,Very Low,20.3094054976,South County,1
47,133,City of Walnut,29172,30093,5744.034782448764,7.553551,227.309,Very Low,76,South County,1
48,027,City of La Puente,39823,40333,2223.1826720169697,2.833238,114.27300000000001,High,23.671274406,South County,1
49,090,City of West Hollywood,34399,35375,1213.3224716613613,0.600933,21.258,Very High,72.0570364085,South County,3
50,110,City of Pico Rivera,62942,63865,5595.756166354929,1.289736,82.36900000000001,Low,43.8099915067,South County,1
51,148,City of Monterey Park,60269,61844,4951.897722625138,2.009912,126,Moderate,60.1050963468,South County,1
52,187,City of Whittier,85314,86604,9385.525769185348,3.8,330.8,Low,76.7081444855,South County,4
53,072,City of Huntington Park,58114,58941,1928.8842367597197,0.687603,40.528,Very High,68.0096340132,South County,1
54,042,City of La Habra Heights,5325,5461,3943.0372673526313,1.979308,10.809,Very Low,25.6879251777,South County,4
55,126,City of Santa Fe Springs,16223,17630,5684.366502918806,5.759331,101.537,Low,67.466093848,South County,4
56,182,City of Santa Monica,89736,92529,5350.446934600505,1.447654,133.95,Moderate,72.3564569367,South County,3
57,161,City of Carson,91714,92675,12121.776482349018,1.528341,141.639,High,51.0631769827,South County,2
58,131,City of Montebello,62500,63648,5355.874359054695,1.319649,83.99300000000001,Moderate,60.4700291555,South County,1
59,157,City of Diamond Bar,55017,55904,9383.96624058179,2.7,152.5,Low,27.8054048179,South County,4
60,145,City of Hawthorne ,84292,87005,3888.565004355223,0.627895,54.5,Very High,65.9389165505,South County,2
61,158,City of El Segundo,16654,16981,3482.2483297090985,2.7,46,Low,97.3182323051,South County,4
62,172,City of Culver City,38883,39853,3286.1837480013705,12.453881,497.892,Moderate,70.9994100229,South County,2
63,137,City of La Mirada,48527,49180,5017.766019142898,4.1,202,Moderate,60,South County,4
64,142,City of Compton,96453,97801,6464.1639941677895,0.578266,56.555,High,58.393699947,South County,2
65,055,City of Commerce,12827,13127,4194.724405930974,2.289099,30.049,Moderate,50.2550809344,South County,1
66,074,City of Lawndale,32769,33235,1261.054588178428,0.786099,26.126,Very High,95.6609996619,South County,2
