rank,study_area_name,acres_per_1000,median_household_income,no_high_school_diploma_pct,park_acres,need_description,walkable_percentage,source_context
151,City of Malibu,9.1,157275.0,2.0,12649.84723337,Very Low,24.79957614,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
152,Unincorporated Stevenson/Newhall Ranch/ Unincorporated Castaic - Val Verde,9.858612,139134.0,4.0,31300.07267155,Very Low,30.72774635,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
153,Unincorporated Northeast Antelope Valley,11.826182,42221.0,22.0,207680.22340161,Very Low,2.0255283,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
154,Unincorporated La Habra Heights/ Unincorporated Rowland Heights,12.2,76410.0,13.0,12371.08196895,Moderate,26.53394331,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
155,Unincorporated Avacado Heights/ Unincorporated Hacienda Heights/ Unincorporated Whittier,12.4,91884.0,12.0,10971.17312518,Low,35.81321439,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
156,City of Culver City,12.453881,101186.0,7.0,3286.183748,Moderate,70.99941002,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
157,City of Pomona - Northside,16.445581,59624.0,27.0,7594.95318138,Moderate,54.50581709,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
158,City of Rancho Palos Verdes,20.0,145190.0,2.0,8661.12289493,Very Low,52.02536483,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
159,Unincorporated Ladera Heights / View Park - Windsor Hills,25.265275,104393.0,3.0,3077.80427624,Very Low,33.51803772,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
160,City of Palos Verdes Estates,32.229568,200001.0,1.0,3054.18723205,Very Low,45.15836207,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
161,City of Azusa,42.5,67706.0,20.0,6183.19869274,Moderate,72.0,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
